k n m fp
1 100 5 0.0436
1 100 10 0.0853
1 100 25 0.2256
1 100 50 0.3715
1 1000 5 0.0044
1 1000 10 0.0093
1 1000 25 0.026
1 1000 50 0.0461
1 10000 5 0.0006
1 10000 10 0.0008
1 10000 25 0.0017
1 10000 50 0.0039
1 10000 5 0.0006
1 10000 10 0.0012
1 10000 25 0.0022
1 10000 50 0.0058
3 100 5 0.1433
3 100 10 0.2638
3 100 25 0.5519
3 100 50 0.8092
3 1000 5 0.0142
3 1000 10 0.0284
3 1000 25 0.0771
3 1000 50 0.1404
3 10000 5 0.0016
3 10000 10 0.0023
3 10000 25 0.0089
3 10000 50 0.0153
3 10000 5 0.0008
3 10000 10 0.003
3 10000 25 0.0071
3 10000 50 0.0156
5 100 5 0.1968
5 100 10 0.4265
5 100 25 0.7214
5 100 50 0.9207
5 1000 5 0.0242
5 1000 10 0.0498
5 1000 25 0.1141
5 1000 50 0.2107
5 10000 5 0.0021
5 10000 10 0.0049
5 10000 25 0.0128
5 10000 50 0.0242
5 10000 5 0.0032
5 10000 10 0.0049
5 10000 25 0.0114
5 10000 50 0.0239
